Date,Category,Region,Units_Sold,Unit_Price,Discount_Percent,Sales
2025-04-19,Clothing,North,7,2499,15,14869.05
2025-04-20,Home,East,2,2499,15,4248.3
2025-04-21,Books,West,1,499,5,474.05
2025-04-22,Home,North,4,499,20,1596.8
2025-04-23,Books,North,8,499,10,3592.8
2025-04-24,Clothing,South,2,1999,0,3998.0
2025-04-25,Home,East,3,1999,5,5697.15
2025-04-26,Books,East,1,799,15,679.15
2025-04-27,Electronics,South,1,799,10,719.1
2025-04-28,Clothing,South,3,499,10,1347.3
2025-04-29,Books,East,5,999,0,4995.0
2025-04-30,Electronics,East,3,299,15,762.45
2025-05-01,Books,West,1,1999,20,1599.2
2025-05-02,Electronics,West,1,999,10,899.1
2025-05-03,Clothing,South,8,1499,0,11992.0
2025-05-04,Home,West,2,1999,20,3198.4
2025-05-05,Electronics,North,3,1999,15,5097.45
2025-05-06,Books,West,2,799,10,1438.2
2025-05-07,Clothing,West,3,299,20,717.6
2025-05-08,Electronics,North,7,299,20,1674.4
2025-05-09,Books,South,1,2499,20,1999.2
2025-05-10,Books,North,8,2499,10,17992.8
2025-05-11,Books,West,2,2499,10,4498.2
2025-05-12,Electronics,South,3,2499,5,7122.15
2025-05-13,Electronics,West,9,1499,15,11467.35
2025-05-14,Electronics,North,7,1499,0,10493.0
2025-05-15,Home,North,4,1999,20,6396.8
2025-05-16,Electronics,West,5,499,5,2370.25
2025-05-17,Electronics,East,2,799,0,1598.0
2025-05-18,Electronics,East,8,799,5,6072.4
2025-05-19,Home,North,4,2499,10,8996.4
2025-05-20,Electronics,North,9,1999,20,14392.8
2025-05-21,Books,East,5,999,0,4995.0
2025-05-22,Electronics,East,9,499,0,4491.0
2025-05-23,Books,West,4,1999,0,7996.0
2025-05-24,Books,West,5,499,0,2495.0
2025-05-25,Books,East,9,499,0,4491.0
2025-05-26,Home,West,8,499,5,3792.4
2025-05-27,Home,West,3,1999,20,4797.6
2025-05-28,Home,South,1,2499,10,2249.1
2025-05-29,Electronics,West,3,799,10,2157.3
2025-05-30,Books,North,4,799,10,2876.4
2025-05-31,Home,West,2,2499,10,4498.2
2025-06-01,Home,West,1,499,5,474.05
2025-06-02,Electronics,East,7,999,15,5944.05
2025-06-03,Home,North,8,299,20,1913.6
2025-06-04,Electronics,West,7,1999,0,13993.0
2025-06-05,Clothing,West,5,299,15,1270.75
2025-06-06,Home,South,1,2499,10,2249.1
2025-06-07,Clothing,West,7,999,15,5944.05
2025-06-08,Electronics,West,7,1999,20,11194.4
2025-06-09,Books,South,9,2499,0,22491.0
2025-06-10,Home,East,3,499,0,1497.0
2025-06-11,Electronics,West,9,799,20,5752.8
2025-06-12,Books,South,1,299,20,239.2
2025-06-13,Books,North,1,1499,10,1349.1
2025-06-14,Clothing,East,4,1499,0,5996.0
2025-06-15,Electronics,North,9,999,15,7642.35
2025-06-16,Books,North,6,499,5,2844.3
2025-06-17,Home,South,3,299,5,852.15
2025-06-18,Home,West,1,499,20,399.2
2025-06-19,Clothing,South,4,299,10,1076.4
2025-06-20,Books,South,9,999,5,8541.45
2025-06-21,Electronics,South,3,999,0,2997.0
2025-06-22,Home,South,9,1499,20,10792.8
2025-06-23,Books,East,7,499,15,2969.05
2025-06-24,Books,West,4,1999,20,6396.8
2025-06-25,Clothing,North,3,1499,15,3822.45
2025-06-26,Home,North,5,499,20,1996.0
2025-06-27,Home,West,5,1499,20,5996.0
2025-06-28,Electronics,North,3,1999,20,4797.6
2025-06-29,Home,West,9,799,15,6112.35
2025-06-30,Electronics,North,4,799,15,2716.6
2025-07-01,Home,South,5,799,20,3196.0
2025-07-02,Clothing,North,4,799,5,3036.2
2025-07-03,Home,West,5,2499,10,11245.5
2025-07-04,Electronics,West,7,299,10,1883.7
2025-07-05,Electronics,West,9,2499,10,20241.9
2025-07-06,Clothing,West,7,2499,15,14869.05
2025-07-07,Home,West,5,2499,15,10620.75
2025-07-08,Home,East,7,799,5,5313.35
2025-07-09,Clothing,East,5,1999,10,8995.5
2025-07-10,Home,North,3,999,10,2697.3
2025-07-11,Home,West,7,999,20,5594.4
2025-07-12,Electronics,North,2,299,15,508.3
2025-07-13,Home,West,9,799,10,6471.9
2025-07-14,Home,West,1,799,5,759.05
2025-07-15,Clothing,East,6,799,5,4554.3
2025-07-16,Clothing,East,7,1499,10,9443.7
2025-07-17,Books,South,8,499,15,3393.2
2025-07-18,Electronics,East,9,1499,5,12816.45
2025-07-19,Home,South,2,499,20,798.4
2025-07-20,Home,South,2,799,5,1518.1
2025-07-21,Books,South,5,799,0,3995.0
2025-07-22,Home,South,5,1499,0,7495.0
2025-07-23,Electronics,South,6,1499,15,7644.9
2025-07-24,Books,North,3,499,10,1347.3
2025-07-25,Electronics,East,8,999,15,6793.2
2025-07-26,Books,South,1,499,15,424.15
2025-07-27,Books,West,6,1499,15,7644.9
2025-07-28,Clothing,East,4,1999,15,6796.6
2025-07-29,Electronics,East,1,1499,20,1199.2
2025-07-30,Home,South,7,1999,20,11194.4
2025-07-31,Home,North,9,299,5,2556.45
2025-08-01,Electronics,South,4,1499,0,5996.0
2025-08-02,Home,North,4,299,15,1016.6
2025-08-03,Home,West,6,999,5,5694.3
2025-08-04,Electronics,East,3,499,0,1497.0
2025-08-05,Books,West,6,1999,10,10794.6
2025-08-06,Electronics,North,7,499,20,2794.4
2025-08-07,Books,North,3,299,0,897.0
2025-08-08,Home,West,7,1999,10,12593.7
2025-08-09,Home,North,3,499,0,1497.0
2025-08-10,Home,West,2,1499,20,2398.4
2025-08-11,Clothing,East,4,799,20,2556.8
2025-08-12,Books,West,8,299,5,2272.4
2025-08-13,Clothing,East,9,499,15,3817.35
2025-08-14,Clothing,West,7,299,0,2093.0
2025-08-15,Electronics,North,1,2499,0,2499.0
2025-08-16,Clothing,West,3,299,10,807.3
2025-08-17,Electronics,North,9,1999,20,14392.8
2025-08-18,Electronics,West,1,2499,0,2499.0
2025-08-19,Clothing,West,9,1999,20,14392.8
2025-08-20,Books,South,8,799,0,6392.0
2025-08-21,Books,North,1,2499,5,2374.05
2025-08-22,Books,South,6,1499,15,7644.9
2025-08-23,Books,North,5,299,0,1495.0
2025-08-24,Books,South,6,499,20,2395.2
2025-08-25,Clothing,East,5,999,5,4745.25
2025-08-26,Clothing,West,6,299,0,1794.0
2025-08-27,Home,North,5,299,10,1345.5
2025-08-28,Books,North,5,799,15,3395.75
2025-08-29,Clothing,West,4,1499,0,5996.0
2025-08-30,Home,North,3,999,5,2847.15
2025-08-31,Books,North,3,2499,10,6747.3
2025-09-01,Electronics,South,4,2499,5,9496.2
2025-09-02,Home,North,9,2499,5,21366.45
2025-09-03,Clothing,East,2,1999,10,3598.2
2025-09-04,Electronics,East,9,1999,5,17091.45
2025-09-05,Electronics,West,1,499,10,449.1
2025-09-06,Electronics,North,1,999,0,999.0
2025-09-07,Home,West,5,2499,10,11245.5
